x,y,z
7.332434,-0.015964,-1.865102
7.304753,-0.004988,-1.853644
7.329748,-0.010538,-1.873694
7.324615,-0.004570,-1.880322
7.317538,0.001359,-1.884339
7.309209,0.006666,-1.885351
7.300444,0.010832,-1.883259
7.292101,0.013449,-1.878269
7.284997,0.014261,-1.870868
7.279826,0.013189,-1.861780
7.277096,0.010338,-1.851898
7.277072,0.005987,-1.842185
7.279758,0.000561,-1.833593
7.284891,-0.005408,-1.826965
7.291967,-0.011336,-1.822948
7.300296,-0.016642,-1.821936
7.309062,-0.020808,-1.824028
7.317405,-0.023426,-1.829018
7.324509,-0.024239,-1.836419
7.329680,-0.023167,-1.845507
7.332411,-0.020315,-1.855391
7.615901,0.167987,-1.759196
7.613491,0.172855,-1.766904
7.591068,0.177833,-1.748915
7.608886,0.178210,-1.772850
7.602537,0.183528,-1.776454
7.595066,0.188289,-1.777362
7.587202,0.192026,-1.775485
7.579718,0.194374,-1.771008
7.573344,0.195104,-1.764369
7.568705,0.194142,-1.756216
7.566255,0.191584,-1.747349
7.566234,0.187680,-1.738636
7.568644,0.182813,-1.730928
7.573250,0.177457,-1.724982
7.579598,0.172139,-1.721379
7.587070,0.167378,-1.720471
7.594933,0.163641,-1.722347
7.602418,0.161293,-1.726824
7.608791,0.160564,-1.733464
7.613430,0.161526,-1.741616
7.615880,0.164083,-1.750482
7.504564,0.279516,-1.732308
7.501879,0.284942,-1.740900
7.476883,0.290492,-1.720850
7.496746,0.290910,-1.747528
7.489668,0.296839,-1.751544
7.481339,0.302146,-1.752557
7.472574,0.306312,-1.750465
7.464231,0.308929,-1.745475
7.457128,0.309741,-1.738074
7.451957,0.308669,-1.728986
7.449226,0.305819,-1.719104
7.449203,0.301467,-1.709391
7.451889,0.296041,-1.700799
7.457021,0.290072,-1.694171
7.464098,0.284145,-1.690154
7.472426,0.278838,-1.689142
7.481192,0.274672,-1.691233
7.489535,0.272054,-1.696224
7.496639,0.271241,-1.703625
7.501811,0.272313,-1.712713
7.504541,0.275165,-1.722596
7.405905,-0.018558,-1.190114
7.526533,-0.069389,-1.233373
7.646976,0.221505,-2.036760
7.318370,-0.168850,-1.257751
7.559412,0.071193,-2.104314
7.438970,-0.219699,-1.300931
7.281169,-0.147950,-1.256036
7.282967,-0.145509,-1.248989
7.279229,-0.141163,-1.253814
7.319320,-0.165719,-1.251308
7.318370,-0.168850,-1.257751
7.323512,-0.175303,-1.250058
7.361762,0.000514,-1.190141
7.365500,-0.003832,-1.185316
7.368733,0.002363,-1.188482
7.411076,-0.024991,-1.182504
7.405905,-0.018558,-1.190114
7.401910,-0.023945,-1.187592
7.479345,0.308023,-2.026792
7.486316,0.309871,-2.025133
7.484519,0.307430,-2.032179
7.396812,0.166345,-2.090464
7.401985,0.165753,-2.095852
7.398752,0.159558,-2.092686
7.340724,-0.196720,-1.209566
7.335586,-0.192279,-1.212788
7.337534,-0.198603,-1.216390
7.425098,-0.048290,-1.148837
7.418004,-0.050799,-1.149205
7.423142,-0.055241,-1.145983
7.519298,-0.108548,-1.162128
7.515478,-0.098299,-1.154714
7.512243,-0.104496,-1.151564
7.519298,-0.108548,-1.162128
